"Title: Population Distribution by Age | KFF"
"Timeframe: 2008"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total",Footnotes
"United States","0.26","0.09","0.12","0.29","0.11","0.13","1.00","1"
"Alabama","0.26","0.10","0.11","0.28","0.12","0.14","1.00"
"Alaska","0.28","0.11","0.12","0.29","0.12","0.07","1.00"
"Arizona","0.28","0.09","0.13","0.27","0.11","0.13","1.00"
"Arkansas","0.26","0.09","0.11","0.28","0.12","0.14","1.00"
"California","0.27","0.10","0.13","0.29","0.10","0.11","1.00"
"Colorado","0.26","0.09","0.13","0.30","0.11","0.10","1.00"
"Connecticut","0.25","0.08","0.10","0.31","0.12","0.13","1.00"
"Delaware","0.26","0.09","0.11","0.29","0.12","0.14","1.00"
"District of Columbia","0.21","0.11","0.16","0.28","0.12","0.12","1.00"
"Florida","0.23","0.09","0.11","0.28","0.12","0.17","1.00"
"Georgia","0.28","0.09","0.12","0.30","0.11","0.10","1.00"
"Hawaii","0.24","0.10","0.11","0.28","0.12","0.15","1.00"
"Idaho","0.29","0.10","0.12","0.27","0.11","0.11","1.00"
"Illinois","0.26","0.09","0.12","0.29","0.11","0.12","1.00"
"Indiana","0.26","0.09","0.12","0.29","0.11","0.12","1.00"
"Iowa","0.25","0.10","0.11","0.28","0.12","0.14","1.00"
"Kansas","0.26","0.10","0.12","0.28","0.11","0.13","1.00"
"Kentucky","0.25","0.08","0.12","0.30","0.12","0.13","1.00"
"Louisiana","0.27","0.10","0.11","0.28","0.12","0.12","1.00"
"Maine","0.22","0.07","0.10","0.32","0.14","0.15","1.00"
"Maryland","0.25","0.09","0.11","0.31","0.12","0.12","1.00"
"Massachusetts","0.24","0.09","0.12","0.31","0.12","0.13","1.00"
"Michigan","0.26","0.09","0.11","0.30","0.12","0.13","1.00"
"Minnesota","0.26","0.09","0.12","0.30","0.11","0.12","1.00"
"Mississippi","0.28","0.09","0.11","0.28","0.11","0.12","1.00"
"Missouri","0.25","0.09","0.12","0.29","0.12","0.13","1.00"
"Montana","0.26","0.10","0.11","0.28","0.13","0.14","1.00"
"Nebraska","0.27","0.09","0.12","0.28","0.11","0.13","1.00"
"Nevada","0.27","0.08","0.13","0.29","0.11","0.11","1.00"
"New Hampshire","0.24","0.08","0.11","0.32","0.13","0.12","1.00"
"New Jersey","0.25","0.09","0.11","0.31","0.11","0.13","1.00"
"New Mexico","0.27","0.10","0.12","0.27","0.11","0.13","1.00"
"New York","0.24","0.10","0.12","0.30","0.12","0.13","1.00"
"North Carolina","0.26","0.09","0.12","0.30","0.12","0.12","1.00"
"North Dakota","0.24","0.12","0.11","0.26","0.13","0.14","1.00"
"Ohio","0.25","0.09","0.11","0.29","0.12","0.13","1.00"
"Oklahoma","0.27","0.10","0.12","0.27","0.12","0.13","1.00"
"Oregon","0.24","0.09","0.12","0.28","0.13","0.13","1.00"
"Pennsylvania","0.24","0.09","0.11","0.30","0.12","0.15","1.00"
"Rhode Island","0.23","0.10","0.11","0.31","0.12","0.14","1.00"
"South Carolina","0.26","0.09","0.11","0.29","0.13","0.13","1.00"
"South Dakota","0.27","0.09","0.11","0.28","0.12","0.14","1.00"
"Tennessee","0.25","0.09","0.12","0.29","0.12","0.13","1.00"
"Texas","0.30","0.10","0.13","0.28","0.10","0.10","1.00"
"Utah","0.33","0.12","0.14","0.24","0.08","0.09","1.00"
"Vermont","0.22","0.08","0.10","0.32","0.14","0.14","1.00"
"Virginia","0.25","0.09","0.11","0.30","0.12","0.12","1.00"
"Washington","0.25","0.09","0.12","0.30","0.12","0.12","1.00"
"West Virginia","0.22","0.08","0.11","0.29","0.14","0.15","1.00"
"Wisconsin","0.25","0.09","0.11","0.30","0.12","0.13","1.00"
"Wyoming","0.26","0.09","0.12","0.28","0.12","0.12","1.00"
"Puerto Rico","0.26","0.10","0.12","0.26","0.11","0.14","1.00"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018."


Footnotes
"1. US total excludes Puerto Rico."
